trans_date,trans_amount
2020-05-23 23:02:47.785907+00:00,51.17
2020-05-23 23:00:57.060917+00:00,71
2020-05-23 22:54:43.599759+00:00,27.5
2020-05-23 22:53:55.762594+00:00,270.6
2020-05-23 22:29:48.845736+00:00,393
2020-05-23 22:16:47.013079+00:00,24
2020-05-23 22:13:59.816073+00:00,200
2020-05-23 22:06:35.273223+00:00,25
2020-05-23 22:02:10.216098+00:00,4.59
2020-05-23 21:54:57.817979+00:00,303
2020-05-23 21:44:46.000735+00:00,100
2020-05-23 21:42:38.168427+00:00,2.74
2020-05-23 21:22:00.554130+00:00,27.08
2020-05-23 21:03:29.860067+00:00,15
2020-05-23 20:55:11.940437+00:00,500
2020-05-23 20:51:07.445207+00:00,100
2020-05-23 20:26:13.222499+00:00,811.1
2020-05-23 20:25:15.032942+00:00,199
2020-05-23 20:03:51.454717+00:00,1100
2020-05-23 20:01:18.059771+00:00,12.76
2020-05-23 19:58:23.103377+00:00,12.76
2020-05-23 19:58:20.997131+00:00,12.76
2020-05-23 19:49:25.639963+00:00,489
2020-05-23 19:41:02.229857+00:00,267.3
2020-05-23 19:14:39.787806+00:00,26.5
2020-05-23 19:12:49.056491+00:00,240.9
2020-05-23 19:06:59.862587+00:00,873.91
2020-05-23 19:05:15.709989+00:00,5.8
2020-05-23 18:44:28.917942+00:00,241.5
2020-05-23 18:29:57.402151+00:00,7799
2020-05-23 18:20:54.834132+00:00,1154
2020-05-23 18:06:58.775553+00:00,10
2020-05-23 18:05:28.696971+00:00,50
2020-05-23 17:47:25.192266+00:00,448.02
2020-05-23 17:33:18.991704+00:00,102
2020-05-23 17:08:12.879967+00:00,173.89
2020-05-23 16:52:15.940866+00:00,202.91
2020-05-23 16:23:03.496946+00:00,75
2020-05-23 16:12:23.450820+00:00,123.5
2020-05-23 15:55:52.056816+00:00,62.46
2020-05-23 15:27:48.483307+00:00,1114.1
2020-05-23 15:25:18.383510+00:00,229
2020-05-23 14:37:40.518458+00:00,26
2020-05-23 14:01:33.837442+00:00,156
2020-05-23 13:30:15.756308+00:00,91.38
2020-05-23 10:03:06.051186+00:00,100
2020-05-23 10:02:05.051127+00:00,99
2020-05-23 07:53:15.738110+00:00,228.88
2020-05-23 07:18:51.576045+00:00,71
2020-05-23 07:11:38.735467+00:00,32.04
2020-05-23 05:47:33.472834+00:00,150
2020-05-23 05:35:11.698906+00:00,3199
2020-05-23 04:26:10.559020+00:00,391.05
2020-05-23 04:26:08.254479+00:00,77
2020-05-23 04:22:14.924666+00:00,50
2020-05-23 04:04:42.896708+00:00,94.6
2020-05-23 03:52:39.154390+00:00,134.62
2020-05-23 03:46:15.512871+00:00,20
2020-05-23 03:39:29.816503+00:00,395.15
2020-05-23 03:03:25.694933+00:00,215.5
2020-05-23 02:57:34.915851+00:00,100.94
2020-05-23 02:55:25.734166+00:00,371
2020-05-23 02:46:26.418772+00:00,1899
2020-05-23 02:28:46.626886+00:00,65
2020-05-23 02:24:31.796865+00:00,65
2020-05-23 01:24:24.809600+00:00,2028.5
2020-05-23 01:15:13.213230+00:00,538.8
2020-05-23 01:08:59.882250+00:00,453.14
2020-05-23 01:05:30.440070+00:00,590
2020-05-23 00:54:01.122564+00:00,636
2020-05-23 00:37:00.343842+00:00,9.5
2020-05-23 00:35:18.691845+00:00,12.76
2020-05-23 00:31:07.102786+00:00,462.01
2020-05-23 00:16:46.076023+00:00,21
2020-05-23 00:16:09.819448+00:00,95
2020-05-23 00:16:00.572208+00:00,50
2020-05-23 00:10:30.700989+00:00,101
2020-05-22 23:57:51.281535+00:00,33.8
2020-05-22 23:53:00.825024+00:00,66.43
2020-05-22 23:47:43.011135+00:00,27.3
2020-05-22 23:45:46.727006+00:00,40
2020-05-22 23:28:15.963733+00:00,90
2020-05-22 22:57:41.356924+00:00,574.23
2020-05-22 22:24:55.920496+00:00,4130.74
2020-05-22 22:24:21.652847+00:00,400.78
2020-05-22 22:16:49.745260+00:00,589
2020-05-22 22:15:31.418645+00:00,99
2020-05-22 22:14:39.686215+00:00,12.76
2020-05-22 21:37:54.754189+00:00,50
2020-05-22 21:15:19.169308+00:00,119
2020-05-22 21:12:07.169069+00:00,10
2020-05-22 21:08:40.021010+00:00,342
2020-05-22 21:06:28.533570+00:00,17.4
2020-05-22 20:55:44.485875+00:00,499
2020-05-22 20:51:08.359344+00:00,521.54
2020-05-22 20:03:09.864936+00:00,482.4
2020-05-22 20:01:08.992961+00:00,42.85
2020-05-22 19:52:06.955371+00:00,14
2020-05-22 19:51:53.276958+00:00,165
2020-05-22 19:50:43.420799+00:00,89.53
2020-05-22 19:36:27.493488+00:00,24
2020-05-22 19:33:07.667009+00:00,12.76
2020-05-22 19:32:47.119654+00:00,63
2020-05-22 19:25:07.147753+00:00,199.6
2020-05-22 19:04:32.195218+00:00,220
2020-05-22 18:47:27.421145+00:00,28.5
2020-05-22 18:45:45.231083+00:00,28
2020-05-22 18:44:56.554532+00:00,28
2020-05-22 18:31:33.371960+00:00,14
2020-05-22 18:28:42.860127+00:00,200
2020-05-22 18:23:50.338127+00:00,64
2020-05-22 18:08:24.013589+00:00,61
2020-05-22 17:56:39.665248+00:00,286.9
2020-05-22 17:53:59.677373+00:00,2639.4
2020-05-22 17:41:57.038218+00:00,231.32
2020-05-22 17:41:52.097184+00:00,669.95
2020-05-22 17:40:34.890802+00:00,632.4
2020-05-22 17:39:41.626507+00:00,11.6
2020-05-22 17:21:14.006328+00:00,70
2020-05-22 16:36:16.690548+00:00,1295.36
2020-05-22 16:29:18.557551+00:00,23.98
2020-05-22 16:25:18.173325+00:00,10
2020-05-22 16:21:44.767154+00:00,67
2020-05-22 16:18:01.459032+00:00,480
2020-05-22 16:01:31.156634+00:00,840
2020-05-22 15:56:39.324839+00:00,55
2020-05-22 15:50:28.591657+00:00,55.06
2020-05-22 15:45:24.533551+00:00,36
2020-05-22 15:45:06.519770+00:00,86.5
2020-05-22 15:29:53.772743+00:00,117.4
2020-05-22 15:07:31.762405+00:00,99
2020-05-22 14:55:08.479960+00:00,128
2020-05-22 14:37:04.446934+00:00,232.3
2020-05-22 14:16:07.375984+00:00,56.18
2020-05-22 14:13:23.105298+00:00,192.5
2020-05-22 14:08:07.402710+00:00,120
2020-05-22 13:54:15.458511+00:00,230
2020-05-22 13:43:53.912083+00:00,36
2020-05-22 13:35:38.519928+00:00,785
2020-05-22 13:34:20.114322+00:00,500.02
2020-05-22 13:22:34.892512+00:00,3144.5
